Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
63;21283;"Management Learning";journal;"14617307, 13505076";1,682;Q1;88;64;114;4969;521;110;3,58;77,64;51,30;0;16;United Kingdom;Western Europe;"SAGE Publications Ltd";"1970-2023";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
64;130065;"Journal of Enterprise Information Management";journal;"17410398";1,648;Q1;82;106;242;9793;2529;236;9,79;92,39;32,63;0;43;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2004-2023";"Decision Sciences (miscellaneous) (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
65;20292;"Ecological Indicators";journal;"1470160X";1,633;Q1;183;1532;3836;103925;29765;3818;7,69;67,84;37,47;7;1216;Netherlands;Western Europe;"Elsevier B.V.";"2001-2023";"Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences; Decision Sciences; Environmental Science"
66;21101107945;"Sustainable Operations and Computers";journal;"26664127";1,628;Q1;18;19;59;1216;839;59;13,93;64,00;27,27;0;14;China;Asiatic Region;"KeAi Communications Co.";"2020-2023";"Computer Science Applications (Q1); Global and Planetary Change (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Computer Science; Decision Sciences; Energy; Engineering; Environmental Science"
67;24710;"Annals of Applied Probability";journal;"10505164";1,620;Q1;89;155;303;6472;569;303;1,61;41,75;15,43;0;2;United States;Northern America;"Institute of Mathematical Statistics";"1996-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
68;28632;"Biostatistics";journal;"14654644, 14684357";1,576;Q1;93;64;196;2388;496;195;2,20;37,31;29,36;0;29;United Kingdom;Western Europe;"Oxford University Press";"2003-2023";"Medicine (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics; Medicine"
69;24355;"Computers and Operations Research";journal;"03050548, 1873765X";1,574;Q1;184;283;792;13842;4624;790;5,22;48,91;25,57;0;43;United Kingdom;Western Europe;"Elsevier Ltd";"1974-2024";"Computer Science (miscellaneous) (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1)";"Computer Science; Decision Sciences; Mathematics"
70;23212;"Annales de l'institut Henri Poincare (B) Probability and Statistics";journal;"02460203";1,555;Q1;53;80;284;3155;423;284;1,39;39,44;13,66;0;1;Netherlands;Western Europe;"Institute of Mathematical Statistics";"1997-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
71;11700154366;"Journal of Leadership and Organizational Studies";journal;"19397089, 15480518";1,549;Q1;60;28;84;2585;562;83;5,60;92,32;42,55;0;1;United States;Northern America;"SAGE Publications Inc.";"1996-1999, 2008-2023";"Business and International Management (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
72;21100856611;"Journal of Responsible Innovation";journal;"23299460, 23299037";1,531;Q1;37;45;109;3266;588;93;5,04;72,58;47,85;1;19;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2023";"Information Systems and Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
73;23863;"Journal of Computational and Graphical Statistics";journal;"10618600, 15372715";1,530;Q1;102;172;281;7096;691;273;2,03;41,26;27,75;0;15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2023";"Discrete Mathematics and Combinatorics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
